ctx,key,server,nl,en,fr,de
enroll,cfm_champion,,Kan Belgisch kampioen worden,Can become Belgian champion,Peut devenir champion de Belgique,Kann belgischer Meister werden
enroll,cfm_confirm,,Bevestigen,Confirm,Confirmer,Bestätigen
enroll,cfm_confirmed,,Bevestigd,Confirmed,Confirm,Bestätigt
enroll,cfm_new,,Nieuwe inschrijving,New enrollment,Nouvel enregistrement,Neue Anmeldung
enroll,cfm_paymentinstructions,,Je zal een aparte email ontvangen met de betaalinstructies,You will receive a separate email with payment instructions,Vous recevrez un e-mail séparé avec les instructions de paiement,Sie erhalten eine separate E-Mail mit den Zahlungsanweisungen
enroll,cfm_title,,Bevestiging,Confirmation,Confirmation,Bestätigung
enroll,closed,,De inschrijvingen zijn officieel gesloten.,The enrollments are officially closed.,Les inscriptions sont officiellement terminées.,Die Anmeldungen sind offiziell geschlossen.
enroll,det_attendantdetailsnotvalid,,"De naame, het emailadres of het GSM nummer van de begeleider is ongeldig","The attendant's name, email address or mobile number is invalid","Le nom, l'adresse email ou le numéro de GSM de l'accompagnateur n'est pas valide","Der Name, die E-Mail-Adresse oder Handynummer des Begleiters ist ungültig"
enroll,det_more,,Extra informatie,Extra information,Informations supplémentaires,Zusatzinformation
enroll,det_parentdetailsnotvalid,,"De naam, het emailadres of het GSM nummer van de ouder is ongeldig","The parent's name, email address or mobile number is invalid","Le nom, l'adresse email ou le numéro de GSM du parent n'est pas valide","Der Name, die E-Mail-Adresse oder Handynummer des Elterteils ist ungültiger "
enroll,det_playerdetailsnotvalid,,Het emailadres of het GSM nummer van de deelnemer is ongeldig,The participant's email address or mobile number is invalid,L'adresse email ou le numéro de GSM du participant n'est pas valide,Die E-Mail-Adresse oder Handynummer des Teilnehmers ist ungültig
enroll,det_requiredinfo,,"Voor niet-meerderjarige deelnemers hebben we de coördinaten nodig van een aanwezige ouder en of een aanwezige begeleider. Voor meerderjarigen hebben we het e-mailadres en gsm nummer. Alle overige velden zijn optioneel, maar we vragen toch om die in te vullen.","For non-adult participants, we need the coordinates of a parent and/or attendant present. For adults we have the e-mail address and mobile number. All other fields are optional, but we ask you to fill them in anyway.","Pour les participants non adultes, nous avons besoin des coordonnées d'un parent et/ou d'un accompagnateur présent. Pour les adultes nous disposons de l'adresse e-mail et du numéro de GSM. Tous les autres champs sont facultatifs, mais nous vous demandons de les remplir quand même.","Für nicht volljährige Teilnehmer benötigen wir die Koordinaten eines anwesenden Elternteils und/oder Begleiters. Für Erwachsene haben wir die E-Mail-Adresse und die Handynummer. Alle anderen Felder sind optional, wir bitten Sie jedoch, diese trotzdem auszufüllen."
enroll,det_title,,Details Inschrijving,Details registration,Détails enregistrement,Details zur Anmeldung
enroll,gdpr_1,,Je geeft Bycco het recht om jouw persoonlijke data te gebruiken verzameld via dit inschrijvingsformulier.,You give Bycco the right to use the personal data collected in this subscription form.,Vous donnez à Bycco le droit d’utiliser les données collectionnées par ce formulaire d’inscription.,"Sie geben Bycco das Recht, die gesammelten personenbezogenen Daten des Anmeldeformulars zu verwenden."
enroll,gdpr_2,,Bycco zal de data enkel gebruiken binnen het kader van dit kampioenschap.,Bycco will only use the data for the organisation of this tournament,Bycco n’utilisera ces données que pour l’organisation du championnat.,Bycco wird diese Daten nur zur Organisation dieser Meisterschaften verwenden.
enroll,gdpr_3,,In geen geval zal Bycco persoonlijke data aan derden geven,In any case Bycco will not leak any personal information to third parties.,"En aucun cas, Bycco mettra les données personnelles à disposition de tierces personnes",In jedem Fall wird Bycco keine persönlichen Informationen an Dritte weitergeben.
enroll,gdpr_4,,Bycco gebruikt jouw profielfoto voor een badge en voor de identificatie op de website.,Bycco will use the profile picture for a badge and for identification on the website.,Bycco utllise votre photo de profil pour le badge et pour l’identification sur le site web,Bycco wird das Profilfoto für einen Badge und für die Identifikation auf der Website verwenden.
enroll,gdpr_5,,Bycco neemt overzichtsfoto's en -video's tijdens het kampioenschap en publiceert deze op de website en op sociale media.,Bycco is taking overview photos/videos of the championships and can publish these photos/videos on its website and on social media,Bycco prend des photos / vidéos d’ensemble lors des championnats et peut publier \n ces photos / vidéos sur le site web et sur les médias sociaux,Bycco nimmt Gesamtaufnahmen der Meisterschaften und kann diese Fotos / Videos auf seiner Website und in sozialen Medien veröffentlichen.
enroll,gdpr_6,,"Indien een close-up van een speler genomen wordt, zal Bycco expliciete toestemming vragen om te publiceren.","If Bycco is taking a close-up photos/video of a player, Bycco will explicitly ask permission to publish","Si Bycco prend un photo / vidéo de près d’un joueur, Bycco demandera explicitement l’autorisation de publier.",Wenn Bycco eine Nahaufnahme eines Spielers macht wird Bycco ausdrücklich um Erlaubnis zur Veröffentlichung bitten.
enroll,gdpr_title,,GDPR Regels,GDPR rules,Règles RGPD,DSGVO-Regeln
enroll,idn_alreadyregistered,,Deze speler is al geregistreerd.,This player is already registered.,Ce joueur est déjà enregistré.,Dieser Spieler ist bereits registriert.
